Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
950991,2111,0,189,135247,35.00,-6.23,-6.53
951403,2887,0,209,135119,33.98,-6.21,-6.59
951444,663,0,157,135116,35.00,-6.25,-6.60
951466,743,0,171,135060,35.00,-6.20,-6.59
951488,1267,0,163,135018,35.00,-6.26,-6.57
951510,2157,0,187,135014,35.00,-6.23,-6.56
951532,2985,0,213,135034,35.00,-6.27,-6.55
951554,3665,0,220,135025,35.00,-6.23,-6.55
951576,3352,0,204,135007,35.00,-6.27,-6.59
951598,2527,0,187,134994,35.00,-6.24,-6.58
951620,1526,0,154,134979,35.00,-6.22,-6.55
951642,699,0,145,134991,35.00,-6.18,-6.54
951664,474,0,141,134876,35.00,-6.25,-6.56
951705,636,0,155,134863,35.00,-6.21,-6.56
951727,1083,0,155,134885,35.00,-6.25,-6.56
951749,1869,0,181,135012,35.00,-6.23,-6.54
951771,2431,0,185,135097,35.00,-6.28,-6.57
951793,3320,0,229,134999,35.00,-6.22,-6.63
951815,3657,0,227,135073,35.00,-6.17,-6.55
951837,2781,0,202,135136,35.00,-6.24,-6.59
951859,1719,0,171,135164,35.00,-6.22,-6.61
951881,803,0,148,135186,35.00,-6.19,-6.56
951903,485,0,135,135201,35.00,-6.22,-6.57
951946,588,0,157,135103,35.00,-6.26,-6.57
951968,1606,0,168,135143,35.00,-6.18,-6.58
951990,2431,0,199,135049,35.00,-6.22,-6.59
952418,3301,0,207,135182,34.04,-6.24,-6.58
952447,973,0,157,135738,35.00,-6.23,-6.57
952469,2401,0,186,135641,35.00,-6.23,-6.57
952491,3327,0,211,135588,35.00,-6.26,-6.56
952513,3925,0,227,135521,35.00,-6.25,-6.57
952535,3607,0,228,135456,35.00,-6.24,-6.56
952557,2731,0,197,135419,35.00,-6.24,-6.59
952579,1397,0,150,135344,35.00,-6.25,-6.55
952601,518,0,149,135226,35.00,-6.18,-6.55
952623,115,0,143,135250,35.00,-6.25,-6.62
952645,453,0,159,135256,35.00,-6.23,-6.56
952687,1150,0,165,135391,35.00,-6.22,-6.56
952709,2360,0,189,135323,35.00,-6.22,-6.56
952731,3427,0,212,135326,35.00,-6.22,-6.53
952753,4027,0,221,135304,35.00,-6.22,-6.59
952775,3533,0,216,135407,35.00,-6.21,-6.56
952797,2571,0,199,135357,35.00,-6.25,-6.59
952819,1227,0,154,135320,35.00,-6.22,-6.55
952841,339,0,151,135386,35.00,-6.22,-6.57
952863,405,0,143,135437,35.00,-6.24,-6.60
952885,650,0,153,135426,35.00,-6.23,-6.58
952928,1387,0,166,135402,35.00,-6.20,-6.56
952950,2603,0,203,135253,35.00,-6.24,-6.55
952972,3463,0,229,135295,35.00,-6.25,-6.57
952994,3469,0,225,135257,35.00,-6.25,-6.56
953435,2899,0,215,135263,34.23,-6.22,-6.52
953469,2165,0,180,135109,35.00,-6.25,-6.58
953491,3513,0,207,135073,35.00,-6.27,-6.58
953513,3896,0,216,135104,35.00,-6.26,-6.62
953535,3210,0,213,135091,35.00,-6.23,-6.56
953557,2153,0,183,135122,35.00,-6.19,-6.57
953579,925,0,159,135094,35.00,-6.21,-6.60
953601,568,0,151,135164,35.00,-6.27,-6.55
953623,478,0,155,135214,35.00,-6.26,-6.62
953645,915,0,155,135326,35.00,-6.23,-6.57
953667,1459,0,175,135277,35.00,-6.26,-6.55
953709,2303,0,201,135132,35.00,-6.22,-6.56
953731,2935,0,205,135169,35.00,-6.22,-6.59
953753,2491,0,203,135194,35.00,-6.24,-6.58
953775,2415,0,212,135222,35.00,-6.20,-6.52
953797,920,0,185,135215,35.00,-6.31,-6.58
953819,698,0,175,135220,35.00,-6.26,-6.57
953841,251,0,159,135122,35.00,-6.23,-6.56
953863,871,0,165,135111,35.00,-6.23,-6.56
953885,1690,0,163,135037,35.00,-6.25,-6.57
953907,2477,0,181,135042,35.00,-6.21,-6.62
953929,2981,0,186,134993,35.00,-6.22,-6.55
953970,3333,0,210,135053,35.00,-6.24,-6.54
953992,3579,0,207,135079,35.00,-6.19,-6.60
954705,2965,0,189,135109,33.94,-6.24,-6.58
954732,1695,0,170,135151,35.00,-6.20,-6.55
954754,1928,0,184,135093,35.00,-6.16,-6.53
954776,1292,0,179,135119,35.00,-6.21,-6.55
954798,509,0,155,135130,35.00,-6.24,-6.58
954820,0,0,153,134992,35.00,-6.21,-6.56
954842,0,0,157,134814,35.00,-6.24,-6.59
954864,341,0,159,134966,35.00,-6.20,-6.53
954886,1125,0,179,135033,35.00,-6.22,-6.61
954908,1544,0,183,134983,35.00,-6.23,-6.60
954930,1927,0,215,135121,35.00,-6.26,-6.58
954972,2173,0,227,135084,35.00,-6.24,-6.56
954994,2089,0,217,135036,35.00,-6.20,-6.59
955722,1324,0,203,135161,33.91,-6.28,-6.59
955754,1939,0,148,134880,35.00,-6.26,-6.69
955776,2749,0,141,134916,35.00,-6.24,-6.59
955798,1900,0,153,134950,35.00,-6.22,-6.63
955820,837,0,125,134951,35.00,-6.22,-6.62
955842,2283,0,153,134982,35.00,-6.21,-6.59
955864,1960,0,173,135015,35.00,-6.20,-6.56
955886,2201,0,182,135081,35.00,-6.20,-6.56
955908,2411,0,182,135089,35.00,-6.26,-6.59
955930,2803,0,197,135131,35.00,-6.22,-6.59
955952,2777,0,183,135012,35.00,-6.27,-6.59
955995,2464,0,187,134954,35.00,-6.28,-6.58
956738,1471,0,163,134932,33.86,-6.21,-6.59
956776,1062,0,165,134523,35.00,-6.22,-6.58
956798,1176,0,167,134501,35.00,-6.22,-6.60
956820,973,0,156,134545,35.00,-6.23,-6.59
956842,1358,0,153,134506,35.00,-6.22,-6.55
956864,1774,0,175,134576,35.00,-6.22,-6.55
956886,2155,0,174,134601,35.00,-6.15,-6.59
956908,2695,0,187,134597,35.00,-6.24,-6.62
956930,2713,0,198,134659,35.00,-6.15,-6.60
956952,2331,0,198,134692,35.00,-6.23,-6.59
956974,2156,0,191,134717,35.00,-6.21,-6.61
956996,1383,0,177,134704,35.00,-6.16,-6.56
957037,971,0,159,134571,35.00,-6.23,-6.56
957059,1069,0,163,134584,35.00,-6.25,-6.58
957081,1206,0,164,134606,35.00,-6.26,-6.57
957103,1559,0,172,134655,35.00,-6.27,-6.59
957125,2055,0,179,134640,35.00,-6.23,-6.59
957147,2660,0,195,134605,35.00,-6.26,-6.62
957169,2952,0,206,134558,35.00,-6.20,-6.57
957191,2855,0,209,134509,35.00,-6.24,-6.61
957213,2259,0,191,134479,35.00,-6.22,-6.58
957235,1554,0,173,134429,35.00,-6.20,-6.60
957278,957,0,170,134607,35.00,-6.22,-6.58
957300,949,0,163,134352,35.00,-6.16,-6.57
957322,1085,0,164,134430,35.00,-6.19,-6.56
957344,1819,0,173,134457,35.00,-6.24,-6.56
957366,2411,0,185,134431,35.00,-6.19,-6.63
957388,2822,0,199,134424,35.00,-6.22,-6.58
957410,2985,0,201,134471,35.00,-6.22,-6.58
957432,2617,0,203,134436,35.00,-6.22,-6.60
957454,1853,0,184,134424,35.00,-6.18,-6.54
957476,1143,0,171,134458,35.00,-6.23,-6.59
957518,809,0,167,134410,35.00,-6.22,-6.58
957540,947,0,157,134457,35.00,-6.23,-6.57
957562,1255,0,165,134556,35.00,-6.22,-6.56
957584,1967,0,176,134530,35.00,-6.22,-6.55
957606,2365,0,181,134496,35.00,-6.19,-6.59
957628,2893,0,198,134506,35.00,-6.23,-6.57
957650,2759,0,187,134541,35.00,-6.22,-6.59
957672,2663,0,201,134493,35.00,-6.21,-6.60
957694,1836,0,183,134521,35.00,-6.24,-6.62
957716,1244,0,160,134565,35.00,-6.17,-6.56
957759,1005,0,159,134800,35.00,-6.20,-6.59
957781,1103,0,156,134770,35.00,-6.16,-6.62
957803,1613,0,163,134693,35.00,-6.19,-6.56
957825,2238,0,179,134682,35.00,-6.19,-6.59
957847,2857,0,191,134821,35.00,-6.25,-6.61
957869,3195,0,188,134697,35.00,-6.25,-6.56
957891,3145,0,195,134683,35.00,-6.27,-6.60
957913,2577,0,169,134683,35.00,-6.18,-6.60
957935,1883,0,149,134699,35.00,-6.22,-6.58
957957,1309,0,140,134765,35.00,-6.19,-6.60
957999,0,0,155,134677,35.00,-6.21,-6.57
958021,1275,0,181,134760,35.00,-6.22,-6.58
958043,1788,0,183,134721,35.00,-6.18,-6.60
958065,2123,0,187,134701,35.00,-6.20,-6.56
958087,2504,0,205,134635,35.00,-6.25,-6.60
958109,2601,0,215,134478,35.00,-6.18,-6.55
958131,2355,0,214,134491,35.00,-6.21,-6.57
958153,1772,0,201,134465,35.00,-6.12,-6.56
958175,1431,0,191,134528,35.00,-6.21,-6.56
958197,1222,0,174,134564,35.00,-6.22,-6.63
958240,795,0,162,134713,35.00,-6.18,-6.57
958262,1657,0,153,134825,35.00,-6.28,-6.57
958284,2357,0,173,134867,35.00,-6.21,-6.57
958306,2720,0,183,134843,35.00,-6.22,-6.62
958328,3205,0,200,134859,35.00,-6.21,-6.57
958350,2844,0,189,134815,35.00,-6.17,-6.59
958372,2377,0,187,134763,35.00,-6.19,-6.57
958394,1543,0,181,134746,35.00,-6.22,-6.62
958416,987,0,163,134750,35.00,-6.22,-6.59
958438,870,0,155,134805,35.00,-6.21,-6.61
958480,1095,0,155,134839,35.00,-6.21,-6.60
958502,1741,0,167,134821,35.00,-6.22,-6.61
958524,2157,0,171,134739,35.00,-6.25,-6.59
958546,2683,0,185,134756,35.00,-6.24,-6.60
958568,2975,0,201,134730,35.00,-6.22,-6.61
958590,2905,0,191,134637,35.00,-6.27,-6.56
958612,2228,0,176,134692,35.00,-6.19,-6.53
958634,1527,0,169,134747,35.00,-6.23,-6.57
958656,1072,0,163,134824,35.00,-6.22,-6.57
958678,1047,0,154,134823,35.00,-6.19,-6.61
958700,1097,0,159,134770,35.00,-6.19,-6.60
958741,1561,0,165,134817,35.00,-6.20,-6.54
958763,1821,0,174,134842,35.00,-6.19,-6.55
958785,2309,0,185,134876,35.00,-6.20,-6.60
958807,2777,0,200,134900,35.00,-6.20,-6.59
958829,2791,0,191,134920,35.00,-6.20,-6.57
958851,2501,0,190,134886,35.00,-6.24,-6.59
958873,1770,0,171,134798,35.00,-6.21,-6.56
958895,1143,0,159,134873,35.00,-6.20,-6.61
958917,933,0,159,134885,35.00,-6.22,-6.62
958939,842,0,157,134830,35.00,-6.27,-6.61
958981,1223,0,173,134751,35.00,-6.22,-6.59
959532,1801,0,175,134794,34.25,-6.24,-6.58
959563,1305,0,174,134633,35.00,-6.22,-6.58
959585,2596,0,188,134639,35.00,-6.21,-6.58
959607,2925,0,205,134632,35.00,-6.21,-6.60
959629,2919,0,205,134619,35.00,-6.24,-6.62
959651,2347,0,202,134585,35.00,-6.22,-6.61
959673,1644,0,189,134492,35.00,-6.25,-6.59
